iter	Passed	Remaining
402	11271	16698
403	11297	16666
404	11328	16642
405	11355	16613
406	11381	16582
407	11408	16553
408	11436	16526
409	11464	16497
410	11490	16467
411	11516	16435
412	11542	16404
413	11568	16375
414	11594	16344
415	11621	16315
416	11652	16291
417	11678	16260
418	11707	16233
419	11734	16205
420	11762	16177
421	11791	16150
422	11823	16128
423	11852	16101
424	11886	16081
425	11912	16051
426	11942	16025
427	11971	15998
428	12003	15977
429	12032	15949
430	12064	15926
431	12099	15908
432	12128	15882
433	12159	15857
434	12186	15828
435	12221	15809
436	12247	15778
437	12274	15748
438	12309	15730
439	12337	15702
440	12364	15673
441	12391	15644
442	12420	15616
443	12451	15592
444	12477	15561
445	12503	15531
446	12528	15499
447	12557	15472
448	12584	15443
449	12614	15417
450	12646	15394
451	12681	15375
452	12714	15352
453	12749	15332
454	12783	15311
455	12815	15289
456	12849	15267
457	12881	15243
458	12912	15218
459	12943	15194
460	12975	15170
461	13008	15147
462	13035	15118
463	13063	15090
464	13091	15062
465	13121	15035
466	13150	15008
467	13177	14979
468	13207	14953
469	13236	14925
470	13265	14899
471	13290	14867
472	13317	14837
473	13346	14810
474	13372	14779
475	13401	14752
476	13429	14724
477	13461	14701
478	13490	14673
479	13521	14648
480	13549	14620
481	13575	14589
482	13601	14559
483	13627	14528
484	13655	14500
485	13684	14473
486	13710	14442
487	13738	14413
488	13768	14387
489	13798	14361
490	13825	14332
491	13856	14306
492	13885	14279
493	13913	14251
494	13939	14221
495	13971	14196
496	13997	14166
497	14022	14135
498	14050	14106
499	14087	14087
500	14118	14062
501	14147	14035
502	14178	14008
503	14212	13987
504	14242	13960
505	14267	13929
506	14298	13903
507	14324	13873
508	14354	13847
509	14381	13817
510	14407	13786
511	14431	13755
512	14460	13727
513	14488	13699
514	14515	13670
515	14543	13641
516	14580	13621
517	14609	13594
518	14636	13565
519	14663	13535
520	14692	13507
521	14720	13479
522	14749	13452
523	14776	13423
524	14803	13393
525	14830	13364
526	14856	13334
527	14886	13307
528	14915	13279
529	14940	13249
530	14966	13218
531	14991	13187
532	15023	13163
533	15057	13140
534	15090	13115
535	15123	13091
536	15156	13067
537	15186	13041
538	15220	13017
539	15248	12989
540	15277	12961
541	15308	12936
542	15339	12909
543	15372	12885
544	15405	12861
545	15434	12834
546	15461	12804
547	15487	12774
548	15515	12745
549	15546	12720
550	15575	12692
551	15602	12663
552	15629	12633
553	15664	12611
554	15697	12586
555	15727	12558
556	15759	12534
557	15787	12505
558	15819	12480
559	15852	12455
560	15881	12427
